! :: ,(!,Fat)
criticavam :: ,(criticar,VMI)
cruzando :: ,(cruzar,VMG)
cruzou :: ,(cruzar,VMI)
cujas :: ,(cujo,PR)
cujo :: ,(cujo,PR)
cujos :: ,(cujo,PR)
cultivada :: ,(cultivar,VMP)
cultural :: ,(cultural,AQ)
culturgest :: ,(culturgest,NP)
cumplicidade :: ,(cumplicidade,NC)
cumplicidades :: ,(cumplicidade,NC)
curiosamente :: ,(curioso,RG)
curriculum :: ,(curriculum,NC)
currículo :: ,(currículo,NC)
currículos :: ,(currículo,NC)
curso :: ,(curso,NC)
cursos :: ,(curso,NC)
cá :: ,(cá,RG)
câmara_municipal_do_funchal :: ,(câmara_municipal_do_funchal,NP)
cânone :: ,(cânone,NC)
cívico :: ,(cívico,AQ)
dados :: ,(dado,NC)
dando :: ,(dar,VMG)
dança :: ,(dança,NC)
data :: ,(data,NC)
de :: ,(de,SP)
de_acordo :: ,(de_acordo,RG)
dead_combo :: ,(dead_combo,NP)
dead_man_talking :: ,(dead_man_talking,NP)
debate :: ,(debate,NC)
deborah_hay :: ,(deborah_hay,NP)
decadência :: ,(decadência,NC)
decisão :: ,(decisão,NC)
decisões :: ,(decisão,NC)
declarações :: ,(declaração,NC)
decorar :: ,(decorar,VMN)
defesa :: ,(defesa,NC)
define :: ,(definir,VMI)
definida :: ,(definir,VMP)
definido :: ,(definir,VMP)
definindo :: ,(definir,VMG)
deixado :: ,(deixar,VMP)
delineado :: ,(delinear,VMP)
demitida :: ,(demitir,VMP)
democrática :: ,(democrático,AQ)
democráticas :: ,(democrático,AQ)
democráticos :: ,(democrático,AQ)
demonstrassem :: ,(demonstrar,VMS)
densidade :: ,(densidade,NC)
denso :: ,(denso,AQ)
dentro :: ,(dentro,RG)
dentro_de :: ,(dentro_de,SP)
denunciava :: ,(denunciar,VMI)
deolinda :: ,(deolinda,NP)
depois :: ,(depois,RG)
derrota :: ,(derrota,NC)
derrotas :: ,(derrota,NC)
desadequados :: ,(desadequado,AQ)
desafio :: ,(desafio,NC)
desaires :: ,(desaire,NC)
desajustadas :: ,(desajustar,VMP)
desaparecer :: ,(desaparecer,VMN)
desaparecidos :: ,(desaparecer,VMP)
descalabro :: ,(descalabro,NC)
descem :: ,(descer,VMI)
desceu :: ,(descer,VMI)
descobrir :: ,(descobrir,VMN)
descreve :: ,(descrever,VMI)
descrita :: ,(descrever,VMP)
desde :: ,(desde,SP),(desde,NP)
desde_então :: ,(desde_então,RG)
desde_já :: ,(desde_já,RG)
desejados :: ,(desejar,VMP)
desembocar :: ,(desembocar,VMN)
desenhou :: ,(desenhar,VMI)
desenvolvem :: ,(desenvolver,VMI)
desenvolvido :: ,(desenvolver,VMP)
desenvolvimento :: ,(desenvolvimento,NC)
desenvolvimento_rural :: ,(desenvolvimento_rural,NP)
desertificado :: ,(desertificar,VMP)
desertificação :: ,(desertificação,NC)
deserto :: ,(deserto,NC)
desfazer :: ,(desfazer,VMN)
designadamente :: ,(designado,RG)
desilusão :: ,(desilusão,NC)
desligou :: ,(desligar,VMI)
deslocamos :: ,(deslocar,VMI)
deslocações :: ,(deslocação,NC)
desmandos :: ,(desmando,NC)
despacho :: ,(despacho,NC)
desregular :: ,(desregular,AQ)
dessa :: ,(dessar,VMI)
destaca :: ,(destacar,VMI)
destacado :: ,(destacar,VMP)
destaques :: ,(destaque,NC)
destoar :: ,(destoar,VMN)
destruído :: ,(destruir,VMP)
detalha :: ,(detalhar,VMI)
determinar :: ,(determinar,VMN)
deu :: ,(dar,VMI)
deve :: ,(dever,VMI)
deveria :: ,(dever,VMI)
deverá :: ,(dever,VMI)
deverão :: ,(dever,VMI)
deveu :: ,(dever,VMI)
devolutos :: ,(devoluto,AQ)
dia :: ,(dia,NC)
dia-a-dia :: ,(dia-a-dia,NC)
dia_10 :: ,([??:10/??/??:??.??:??],W)
dia_12 :: ,([??:12/??/??:??.??:??],W)
dia_16 :: ,([??:16/??/??:??.??:??],W)
dia_17_de_março :: ,([??:17/3/??:??.??:??],W)
dia_20_de_janeiro :: ,([??:20/1/??:??.??:??],W)
dia_24 :: ,([??:24/??/??:??.??:??],W)
dia_25_de_fevereiro :: ,([??:25/2/??:??.??:??],W)
dia_2_de_março :: ,([??:2/3/??:??.??:??],W)
dia_9 :: ,([??:9/??/??:??.??:??],W)
diagnóstico :: ,(diagnóstico,NC)
diana :: ,(diana,NP)
diana_policarpo :: ,(diana_policarpo,NP)
diana_policarpo_yann_gibert_o :: ,(diana_policarpo_yann_gibert_o,NP)
diante :: ,(diante,RG)
diferente :: ,(diferente,AQ)
diferentes :: ,(diferente,AQ)
diferença :: ,(diferença,NC)
dificuldade :: ,(dificuldade,NC)
