! :: ,(!,-)
carlota :: ,(carlota,-)
carreira :: ,(carreira,-)
carrinhos :: ,(carrinho,-)
carro :: ,(carro,-)
carros :: ,(carro,-)
carta_branca :: ,(carta_branca,-)
cartaz :: ,(cartaz,-)
casa :: ,(casa,-)
casa_do_infante :: ,(casa_do_infante,-)
casa_do_professor :: ,(casa_do_professor,-)
casario :: ,(casario,-)
caso :: ,(caso,-)
casos :: ,(caso,-)
catarina_selada :: ,(catarina_selada,-)
catastrófica :: ,(catastrófico,-)
catástrofes :: ,(catástrofe,-)
católica :: ,(católica,-)
causa :: ,(causar,-),(causa,-)
causalidade :: ,(causalidade,-)
caça :: ,(caça,-)
caçados :: ,(caçar,-)
ccb :: ,(ccb,-)
ce :: ,(ce,-)
ceiia :: ,(ceiia,-)
cena :: ,(cena,-)
centeno :: ,(centeno,-)
central :: ,(central,-)
centralização :: ,(centralização,-)
centro :: ,(centro,-)
centro_de_estudos_sociais :: ,(centro_de_estudos_sociais,-)
cerca :: ,(cerca,-)
certeza :: ,(certeza,-)
certidões :: ,(certidão,-)
certos :: ,(certo,-)
cervídeos :: ,(cervídeo,-)
chamada :: ,(chamar,-)
chamado :: ,(chamar,-)
chamando :: ,(chamar,-)
chamaram :: ,(chamar,-)
chamou :: ,(chamar,-)
charlemagne_palestine :: ,(charlemagne_palestine,-)
chegada :: ,(chegada,-)
cheguei :: ,(chegar,-)
chiado :: ,(chiado,-)
chinesas :: ,(chinês,-)
christophe_wavelet :: ,(christophe_wavelet,-)
ciclo :: ,(ciclo,-)
cidade :: ,(cidade,-)
cidades :: ,(cidade,-)
cidadãos :: ,(cidadão,-)
científicos :: ,(científico,-)
cima :: ,(cima,-)
cinco :: ,(5,-)
cineasta :: ,(cineasta,-)
circula :: ,(circula,-),(circular,-)
circular :: ,(circular,-)
citação :: ,(citação,-)
civil :: ,(civil,-)
classificados :: ,(classificar,-)
classificação :: ,(classificação,-)
clean_feed :: ,(clean_feed,-)
clichés :: ,(cliché,-)
climáticas :: ,(climático,-)
clube :: ,(clube,-)
clássica :: ,(clássico,-)
cm-funchal :: ,(cm-funchal,-)
cobaia :: ,(cobaia,-)
coimbra :: ,(coimbra,-)
coisas :: ,(coisa,-)
colaboração :: ,(colaboração,-)
colaborou :: ,(colaborar,-)
colectiva :: ,(colectivo,-)
colectivo :: ,(colectivo,-)
colegas :: ,(colega,-)
coligação :: ,(coligação,-)
colocam :: ,(colocar,-)
colocando :: ,(colocar,-)
com :: ,(com,-)
combinam :: ,(combinar,-)
começará :: ,(começar,-)
começámos :: ,(começar,-)
como :: ,(como,-)
como_se :: ,(como_se,-)
comparações :: ,(comparação,-)
compensar :: ,(compensar,-)
competição :: ,(competição,-)
competências :: ,(competência,-)
complexidade :: ,(complexidade,-)
complexo :: ,(complexo,-)
compositor :: ,(compositor,-)
compositora :: ,(compositor,-)
composição :: ,(composição,-)
composições :: ,(composição,-)
compra :: ,(compra,-)
compras :: ,(compra,-)
compreender :: ,(compreender,-)
comprou :: ,(comprar,-)
comunicativa :: ,(comunicativo,-)
comunidade :: ,(comunidade,-)
conceder :: ,(conceder,-)
conceito :: ,(conceito,-)
concelhos :: ,(concelho,-)
concentrada :: ,(concentrar,-)
concentração :: ,(concentração,-)
conceptualização :: ,(conceptualização,-)
concertada :: ,(concertar,-)
concerto :: ,(concerto,-)
concessão :: ,(concessão,-)
concidadãos :: ,(concidadão,-)
conclui :: ,(concluir,-)
conclusões :: ,(conclusão,-)
concluída :: ,(concluir,-)
concreta :: ,(concreto,-)
condenam :: ,(condenar,-)
condicionalidade :: ,(condicionalidade,-)
condizentes :: ,(condizente,-)
condutores :: ,(condutor,-)
conduziram :: ,(conduzir,-)
conduziu :: ,(conduzir,-)
conectados :: ,(conectar,-)
confiança :: ,(confiança,-)
configurando :: ,(configurar,-)
confirmados :: ,(confirmar,-)
conforto :: ,(conforto,-)
confrontada :: ,(confrontar,-)
conheceram :: ,(conhecer,-)
conhecimento :: ,(conhecimento,-)
conjectura :: ,(conjectura,-)
conjunto :: ,(conjunto,-)
conquistado :: ,(conquistar,-)
consciente :: ,(consciente,-)
conseguir :: ,(conseguir,-)
considera :: ,(considerar,-)
consideradas :: ,(considerar,-)
considerado :: ,(considerar,-)
consigo :: ,(conseguir,-)
consta :: ,(constar,-)
constatámos :: ,(constatar,-)
constituem :: ,(constituir,-)
constitui :: ,(constituir,-)
constituindo :: ,(constituir,-)
constituiu :: ,(constituir,-)
construção :: ,(construção,-)
consultado :: ,(consultar,-)
consultores :: ,(consultor,-)
consumo :: ,(consumo,-)
conta :: ,(conta,-),(contar,-)
contactando :: ,(contactar,-)
contam :: ,(contar,-)
contamina :: ,(contaminar,-)
contasse :: ,(contar,-)
contemporânea :: ,(contemporâneo,-)
conter :: ,(conter,-)
contestação :: ,(contestação,-)
continente :: ,(continente,-)
continua :: ,(continuar,-)
continuada :: ,(continuar,-)
continuam :: ,(continuar,-)
continuamos :: ,(continuar,-)
continuar :: ,(continuar,-)
continuasse :: ,(continuar,-)
